iter	Passed	Remaining
665	1013	508
666	1014	506
667	1016	504
668	1017	503
669	1018	501
670	1020	500
671	1021	498
672	1023	497
673	1024	495
674	1026	494
675	1027	492
676	1029	491
677	1030	489
678	1032	488
679	1033	486
680	1035	484
681	1036	483
682	1038	481
683	1039	480
684	1041	478
685	1042	477
686	1044	475
687	1045	474
688	1046	472
689	1048	471
690	1049	469
691	1051	467
692	1052	466
693	1054	464
694	1055	463
695	1057	461
696	1058	460
697	1060	458
698	1061	457
699	1063	455
700	1064	454
701	1066	452
702	1067	451
703	1069	449
704	1071	448
705	1073	446
706	1074	445
707	1076	443
708	1078	442
709	1079	441
710	1081	439
711	1082	437
712	1084	436
713	1086	435
714	1088	433
715	1089	432
716	1092	431
717	1094	429
718	1096	428
719	1097	426
720	1099	425
721	1100	423
722	1102	422
723	1104	420
724	1108	420
725	1109	418
726	1111	417
727	1112	415
728	1114	414
729	1116	412
730	1117	411
731	1119	409
732	1121	408
733	1124	407
734	1125	405
735	1127	404
736	1129	403
737	1131	401
738	1132	400
739	1134	398
740	1136	397
7741	1141	396742	1141	394
743	1143	393
7744	1149	3937745	1151	3927746	1153	3907747	1155	3897748	1157	3887749	1159	3867750	1161	3857751	1163	3837752	1164	3827753	1166	3807754	1167	3787755	1170	3777756	1173	3767757	1174	3757758	1176	3737759	1178	3727760	1179	3707761	1181	3697762	1183	3677763	1185	3667764	1187	3647765	1189	3637766	1191	3617767	1192	3607768	1194	3587769	1195	3577770	1197	3557771	1199	3547772	1201	3527773	1204	3517774	1205	3507775	1207	3487776	1209	3477777	1210	3457778	1212	3437779	1214	3427780	1217	3417781	1219	3397782	1221	3387783	1222	3367784	1224	3357785	1225	3337786	1227	3327787	1228	3307788	1230	3297789	1233	3277790	1235	3267791	1237	3247792	1238	3237793	1240	3217794	1242	3207795	1243	3187796	1245	3177797	1247	3157798	1250	3147799	1251	3128800	1253	3118801	1255	3098802	1256	3088803	1258	3068804	1260	3058805	1262	3038806	1265	3028807	1266	3018808	1268	2998809	1270	2978810	1271	2968811	1273	2948812	1274	2938813	1276	2918814	1280	2908815	1281	2888816	1283	2878817	1284	2858818	1286	2848819	1288	2828820	1289	2818821	1291	2798822	1294	2788823	1296	2768824	1298	2758825	1300	2738826	1301	2728827	1303	2708828	1305	2698829	1306	2678830	1309	2668831	1311	2648832	1313	2638833	1314	2618834	1315	2608835	1317	2588836	1318	2568837	1320	2558838	1321	2538839	1325	2528840	1327	2508841	1328	2498842	1329	2478843	1331	2468844	1332	2448845	1334	2428846	1335	2418847	1337	2398848	1339	2388849	1341	2368850	1343	2358851	1344	2338852	1346	2318853	1347	2308854	1348	2288855	1350	2278856	1351	2258857	1353	2238858	1355	2228859	1356	2208860	1358	2198861	1359	2178862	1361	2168863	1362	2148864	1363	2128865	1365	2118866	1366	2098867	1368	2088868	1369	2068869	1371	2048870	1372	2038871	1374	2018872	1375	2008873	1377	1988874	1378	1968875	1380	1958876	1381	1938877	1383	1928878	1384	1908879	1386	1898880	1387	1878881	1389	1858882	1390	1848883	1392	1828884	1393	1818885	1395	1798886	1396	1778887	1398	1768888	1399	1748889	1401	1738890	1402	1718891	1403	1698892	1405	1688893	1406	1668894	1408	1658895	1409	1638896	1411	1628897	1413	1608898	1414	1588899	1415	1579900	1417	1559901	1419	1549902	1421	1529903	1422	1519904	1424	1499905	1425	1479906	1427	1469907	1429	1449908	1431	1439909	1433	1419910	1435	1409911	1437	1389912	1438	1379913	1440	1359914	1442	1339915	1443	1329916	1445	1309917	1447	1299918	1450	1279919	1452	1269920	1453	1249921	1455	1239922	1457	1219923	1458	1199924	1460	1189925	1462	1169926	1464	1159927	1467	1139928	1469	1129929	1470	1109930	1472	1099931	1473	1079932	1475	1059933	1477	1049934	1479	1029935	1481	1019936	1483	999937	1485	989938	1486	969939	1488	959940	1490	939941	1491	919942	1493	909943	1496	889944	1499	879945	1500	859946	1502	849947	1503	829948	1505	809949	1507	799950	1508	779951	1511	769952	1513	749953	1515	739954	1517	719955	1518	699956	1520	689957	1522	669958	1523	659959	1526	639960	1528	629961	1530	609962	1532	589963	1533	579964	1535	559965	1536	549966	1538	529967	1540	509968	1543	499969	1545	479970	1546	469971	1548	44972	1547	42
973	1549	41
974	1551	39
975	1552	38
976	1555	36
977	1557	35
978	1558	33
9979	1561	319980	1563	309981	1565	289982	1566	279983	1568	259984	1570	239985	1573	229986	1575	209987	1577	199988	1578	179989	1580	159990	1581	149991	1583	129992	1585	119993	1588	99994	1590	79995	1592	69996	1593	49997	1595	39998	1596	19999	1598	0
